Gene,Average_Score,Classification,Cortex,Striatum,hiPSC,Fetal,SynGO,GO Synapse,SynDB,SynSysNet
AK6,4.196966830864167,Negative,0,0,0,0,0,0,0,0
AK7,4.277315173046785,Negative,0,0,0,0,0,0,0,0
AK8,4.394362222141047,Negative,0,0,0,0,0,0,0,0
AK9,4.228001258711333,Negative,0,0,0,0,0,0,0,0
AKAP1,4.716721361545833,EnSig,0,1,1,0,1,0,0,0
AKAP10,4.554162284776928,Negative,1,1,1,0,0,0,0,0
AKAP12,5.0070773056695,EnSig,0,1,1,1,1,1,1,0
AKAP13,4.951207956852749,EnSig,0,0,0,0,0,0,0,0
AKAP3,4.1697120310810085,Negative,0,0,0,0,0,0,0,0
AKAP4,3.0659733057504988,Negative,0,0,1,0,0,0,0,0
AKAP5,4.344916758257929,Negative,1,1,0,0,1,1,1,0
AKAP6,4.8063991811958315,EnSig,0,0,0,0,0,0,0,0
AKAP7,4.3522949348715,Negative,0,0,0,0,1,1,0,0
AKAP8,4.156235986310583,Negative,0,0,0,0,0,0,0,0
AKAP8L,4.141363679181167,Negative,0,0,1,0,0,0,0,0
AKAP9,4.809971141315763,EnSig,1,0,1,1,1,1,1,0
AKNA,4.295444173690222,Negative,0,0,0,0,0,0,0,0
AKR1A1,4.141044336911076,Negative,0,0,1,1,1,1,1,0
AKR1B1,4.531884990712083,Negative,0,1,1,0,0,0,0,0
AKR1B10,4.317905829866,Negative,0,0,0,0,0,0,0,0
AKR1C1,4.283991574115166,Negative,0,0,1,0,0,0,1,0
AKR1C2,4.1637139724067485,Negative,0,0,1,0,0,0,1,0
AKR1C3,4.202852555735666,Negative,0,0,0,0,0,0,0,0
AKR1C4,4.330478299532748,Negative,0,0,0,0,0,0,0,0
AKR1D1,4.346770895040167,Negative,0,0,0,0,0,0,0,0
AKR7A2,4.444816900016667,Negative,0,1,1,0,0,0,1,0
AKR7A3,4.36923369234,Negative,0,0,0,0,0,0,0,0
AKT1,4.680499127228928,EnSig,0,0,1,0,0,1,1,0
AKT2,4.4253674937983325,Negative,0,0,0,0,0,0,0,0
AKT3,4.415183544371749,Negative,0,0,0,0,0,0,0,0
AKTIP,4.210814499162285,Negative,0,0,0,0,0,0,0,0
ALAD,4.5134459996502425,Negative,0,0,0,0,0,0,0,0
ALAS1,4.0697919605315,Negative,0,0,0,0,0,0,0,0
ALAS2,4.3421790793892505,Negative,0,0,0,0,0,0,0,0
ALB,4.273835863288,Negative,0,0,1,1,0,0,0,0
ALCAM,4.234016597326583,Negative,0,0,1,0,0,0,1,1
ALDH18A1,4.434128269526833,Negative,1,1,1,0,0,0,0,0
ALDH1A1,4.4547168817484994,Negative,0,0,1,0,0,0,1,0
ALDH1A2,4.534169081451499,Negative,0,0,0,0,0,0,0,0
ALDH1A3,4.213455365853047,Negative,0,0,0,0,0,0,0,0
ALDH1B1,4.237980660503341,Negative,1,1,1,0,0,0,0,0
ALDH1L1,4.439609165813499,Negative,1,0,0,0,0,0,1,0
ALDH1L2,4.483415290478333,Negative,1,0,1,0,0,0,0,0
ALDH2,4.2765313118794985,Negative,1,0,1,1,0,0,1,0
ALDH3A1,4.459727263591749,Negative,0,0,0,0,0,0,0,0
ALDH3A2,4.399245737983166,Negative,1,0,1,1,0,0,1,0
ALDH3B1,4.6910406677229055,EnSig,0,0,0,0,0,0,0,0
ALDH4A1,4.383851010965167,Negative,1,0,1,0,0,0,1,0
ALDH5A1,4.634718891024667,Negative,1,1,1,1,0,0,1,0
ALDH6A1,4.142603499497916,Negative,0,0,0,0,0,0,1,0
ALDH7A1,4.798111297098165,EnSig,0,0,1,1,0,0,1,0
ALDH8A1,4.303541688269333,Negative,0,0,0,0,0,0,0,0
ALDH9A1,4.609436662059499,Negative,0,0,1,0,0,0,0,0
ALDOA,4.4678040139845,Negative,1,1,1,1,0,0,1,0
ALDOB,4.130195140242498,Negative,0,0,0,0,0,0,0,0
ALDOC,4.2336247541938326,Negative,1,1,1,1,1,0,1,0
ALG1,4.289428559983166,Negative,0,0,0,0,0,0,0,0
ALG10,4.1753391803615,Negative,0,0,0,0,0,0,0,0
ALG2,4.298878437289,Negative,1,0,0,0,0,0,0,1
ALG3,4.2634096772945,Negative,0,0,0,0,0,0,0,0
ALG5,4.464971040027833,Negative,0,0,0,0,0,0,0,0
ALG6,4.110945013947083,Negative,0,0,0,0,0,0,0,0
ALG8,4.696909285471833,EnSig,0,0,0,0,0,0,0,0
ALG9,4.037404989854498,Negative,1,0,0,0,0,0,0,0
ALK,4.737831048285,EnSig,1,0,1,0,1,0,0,0
ALKBH2,4.129376207333917,Negative,0,0,0,0,0,0,0,0
ALKBH3,4.172489461965037,Negative,0,0,0,0,0,0,0,0
ALKBH5,4.700549574773167,EnSig,0,0,0,0,0,0,0,0
ALKBH8,4.5082930817745,Negative,0,0,1,0,0,0,0,0
ALOX12,4.189314884198666,Negative,0,0,0,0,0,0,0,0
ALOX12B,4.430995382658444,Negative,0,0,0,0,0,0,0,0
ALOX15,4.523707825350166,Negative,0,0,0,0,0,0,0,0
ALOX15B,4.454185016569869,Negative,0,0,0,0,0,0,0,0
ALOX5,4.083014277518893,Negative,0,0,0,0,0,0,0,0
ALOX5AP,4.7130671813797775,EnSig,0,0,0,0,0,0,0,0
ALPI,3.1496149592080362,Negative,0,0,0,0,0,0,0,0
ALPK1,4.034555377126666,Negative,0,0,0,0,0,0,0,0
ALPK3,4.307156809936692,Negative,0,0,0,0,0,0,0,0
ALPL,4.498801231292499,Negative,0,0,1,0,0,0,1,0
ALPP,4.529079498032295,Negative,0,0,0,0,0,0,0,0
ALS2,4.651336732658999,Negative,1,0,1,0,0,1,0,0
ALS2CL,4.113096774284551,Negative,0,0,0,0,0,0,0,0
ALX1,4.738243763169713,EnSig,0,0,0,0,0,0,0,0
ALX4,4.5650610103675,Negative,0,0,0,0,0,0,0,0
ALYREF,4.717118690048499,EnSig,0,1,1,1,0,0,0,0
AMACR,4.201016920092833,Negative,0,0,0,0,0,0,0,0
AMBN,4.654791522588999,Negative,0,0,0,0,0,0,0,0
AMBP,4.289460798337856,Negative,0,0,0,0,0,0,0,0
AMD1,4.5114873083635,Negative,0,0,0,0,0,0,0,0
AMDHD1,4.526040397288166,Negative,0,0,0,0,0,0,0,0
AMER1,4.243835053547929,Negative,0,0,0,0,0,0,0,0
AMER2,4.632355911381575,Negative,0,1,1,1,0,0,0,0
AMER3,4.341222101828868,Negative,0,0,0,0,0,0,0,0
AMFR,4.359685611742083,Negative,0,0,0,0,0,0,0,0
AMIGO1,4.266263894344833,Negative,0,0,0,0,0,0,0,0
AMIGO2,4.417951468899499,Negative,0,0,0,0,0,0,0,0
AMMECR1,4.446196878688833,Negative,0,0,0,0,0,0,0,0
AMN,4.460837925333166,Negative,0,0,0,0,0,0,0,0
AMOT,4.3372344703120005,Negative,1,0,0,0,0,0,0,0
AMOTL1,4.238467196959559,Negative,0,0,0,0,0,0,0,0
AMOTL2,4.318947981401928,Negative,0,0,0,0,0,0,0,0
AMPD1,4.313174415496428,Negative,0,0,0,0,0,0,0,0
AMPD2,4.209926567110295,Negative,0,0,1,0,0,0,1,0
AMPD3,4.1024706442726435,Negative,0,0,0,0,0,0,0,0
AMT,4.3712833498973325,Negative,0,0,0,0,0,0,0,0
ANAPC1,4.439112928785558,Negative,0,0,1,0,0,0,0,0
ANAPC10,4.139314542916551,Negative,0,0,0,0,0,0,0,0
ANAPC16,4.264418650981167,Negative,0,0,0,0,0,0,0,0
ANAPC2,4.0993114817390826,Negative,0,0,0,0,0,0,0,0
ANAPC4,4.053055724048332,Negative,0,0,0,0,0,0,0,0
ANAPC5,4.205742960716666,Negative,0,0,0,0,0,0,0,0
ANAPC7,4.1423957266757485,Negative,0,0,1,0,0,0,0,0
ANGEL1,4.239438061616251,Negative,0,0,0,0,0,0,0,0
ANGPT1,4.172870540926178,Negative,0,0,0,0,0,0,0,0
ANGPT2,4.406591686748749,Negative,0,0,0,0,0,0,0,0
ANK1,4.371647598727499,Negative,1,1,0,0,0,1,1,0
ANK3,5.150917601685999,EnSig,1,1,1,1,0,1,1,1
ANKFY1,4.496147421014499,Negative,0,0,1,1,0,0,1,0
ANKHD1,4.129177263883791,Negative,0,0,1,0,0,0,0,0
ANKIB1,4.325823573405666,Negative,0,0,1,1,0,0,0,0
ANKLE2,4.144952640721597,Negative,1,0,1,0,0,0,0,0
ANKMY2,4.5567842509553325,Negative,0,0,1,0,0,0,0,0
ANKRA2,4.1944734637286665,Negative,0,0,0,0,0,0,0,0
ANKRD11,4.3296957651372585,Negative,0,0,0,0,0,0,0,0
ANKRD12,4.6255217804664985,Negative,0,0,1,0,0,0,0,0
ANKRD13A,4.169018455097743,Negative,0,0,0,0,0,0,0,0
ANKRD13B,4.188603087245166,Negative,0,0,1,0,0,0,0,0
