Gene,Synapse Status,Synapse Percentile,Cortex,Striatum,hiPSC,Fetal,SynGO,SynDB,SynSysNet
AK3,Not a synapse gene,30.09,1,1,0,0,0,1,0
AK4,Not a synapse gene,46.76,1,0,1,0,0,0,0
AK5,Not a synapse gene,81.43,1,1,0,0,0,1,0
AK6,Not a synapse gene,18.58,0,0,0,0,0,0,0
AK7,Not a synapse gene,23.60,0,0,0,0,0,0,0
AK8,Not a synapse gene,14.00,0,0,0,0,0,0,0
AK9,Not a synapse gene,37.76,0,0,0,0,0,0,0
AKAP10,Not a synapse gene,40.56,1,1,1,0,0,0,0
AKAP13,yes,93.80,0,0,0,0,0,0,0
AKAP3,Not a synapse gene,6.15,0,0,0,0,0,0,0
AKAP4,Not a synapse gene,8.64,0,0,1,0,0,0,0
AKAP5,Not a synapse gene,78.06,1,1,0,0,1,1,0
AKAP6,Not a synapse gene,70.82,0,0,0,0,0,0,0
AKAP7,Not a synapse gene,27.20,0,0,0,0,0,0,0
AKAP8,Not a synapse gene,52.18,0,0,0,0,0,0,0
AKAP8L,Not a synapse gene,81.08,0,0,1,0,0,0,0
AKAP9,Not a synapse gene,77.33,1,0,1,1,1,1,0
AKNA,Not a synapse gene,10.75,0,0,0,0,0,0,0
AKR1B1,Not a synapse gene,73.42,0,1,1,0,0,0,0
AKR1B10,Not a synapse gene,5.23,0,0,0,0,0,0,0
AKR1C1,Not a synapse gene,26.98,0,0,1,0,0,1,0
AKR1C2,Not a synapse gene,16.09,0,0,1,0,0,1,0
AKR1C3,Not a synapse gene,22.45,0,0,0,0,0,0,0
AKR1C4,Not a synapse gene,4.14,0,0,0,0,0,0,0
AKR1D1,Not a synapse gene,9.38,0,0,0,0,0,0,0
AKR7A2,Not a synapse gene,75.37,0,1,1,0,0,1,0
AKR7A3,Not a synapse gene,29.57,0,0,0,0,0,0,0
AKT1,yes,99.05,0,0,1,0,0,1,0
AKT1S1,Not a synapse gene,51.55,1,1,0,0,0,0,0
AKT2,yes,91.66,0,0,0,0,0,0,0
AKT3,Not a synapse gene,78.27,0,0,0,0,0,0,0
AKTIP,Not a synapse gene,71.38,0,0,0,0,0,0,0
ALAD,Not a synapse gene,42.57,0,0,0,0,0,0,0
ALAS1,Not a synapse gene,75.01,0,0,0,0,0,0,0
ALAS2,Not a synapse gene,11.52,0,0,0,0,0,0,0
ALB,Not a synapse gene,83.20,0,0,1,1,0,0,0
ALCAM,Not a synapse gene,73.24,0,0,1,0,0,1,1
ALDH18A1,Not a synapse gene,61.68,1,1,1,0,0,0,0
ALDH1A1,Not a synapse gene,29.69,0,0,1,0,0,1,0
ALDH1A2,Not a synapse gene,57.06,0,0,0,0,0,0,0
ALDH1A3,Not a synapse gene,20.13,0,0,0,0,0,0,0
ALDH1B1,Not a synapse gene,50.36,1,1,1,0,0,0,0
ALDH1L1,Not a synapse gene,15.64,1,0,0,0,0,1,0
ALDH1L2,Not a synapse gene,31.91,1,0,1,0,0,0,0
ALDH2,Not a synapse gene,83.94,1,0,1,1,0,1,0
ALDH3A1,Not a synapse gene,25.48,0,0,0,0,0,0,0
ALDH3A2,Not a synapse gene,79.68,1,0,1,1,0,1,0
ALDH3B1,Not a synapse gene,54.03,0,0,0,0,0,0,0
ALDH5A1,Not a synapse gene,70.20,1,1,1,1,0,1,0
ALDH6A1,Not a synapse gene,31.18,0,0,0,0,0,1,0
ALDH7A1,Not a synapse gene,63.79,0,0,1,1,0,1,0
ALDH8A1,Not a synapse gene,15.05,0,0,0,0,0,0,0
ALDH9A1,Not a synapse gene,35.80,0,0,1,0,0,0,0
ALDOA,yes,97.41,1,1,1,1,0,1,0
ALDOB,Not a synapse gene,32.85,0,0,0,0,0,0,0
ALG1,Not a synapse gene,50.67,0,0,0,0,0,0,0
ALG10,Not a synapse gene,8.46,0,0,0,0,0,0,0
ALG13,Not a synapse gene,56.29,0,0,0,0,0,0,0
ALG2,Not a synapse gene,47.83,1,0,0,0,0,0,1
ALG3,Not a synapse gene,23.70,0,0,0,0,0,0,0
ALG5,Not a synapse gene,23.06,0,0,0,0,0,0,0
ALG6,Not a synapse gene,16.76,0,0,0,0,0,0,0
ALG8,Not a synapse gene,21.47,0,0,0,0,0,0,0
ALG9,Not a synapse gene,33.04,1,0,0,0,0,0,0
ALK,yes,91.55,1,0,1,0,1,0,0
ALKBH2,Not a synapse gene,11.93,0,0,0,0,0,0,0
ALKBH3,Not a synapse gene,51.40,0,0,0,0,0,0,0
ALKBH5,Not a synapse gene,65.48,0,0,0,0,0,0,0
ALKBH8,Not a synapse gene,29.91,0,0,1,0,0,0,0
ALOX12,Not a synapse gene,9.80,0,0,0,0,0,0,0
ALOX12B,Not a synapse gene,16.30,0,0,0,0,0,0,0
ALOX15,Not a synapse gene,31.85,0,0,0,0,0,0,0
ALOX15B,Not a synapse gene,33.47,0,0,0,0,0,0,0
ALOX5,Not a synapse gene,64.85,0,0,0,0,0,0,0
ALOX5AP,Not a synapse gene,13.14,0,0,0,0,0,0,0
ALPI,Not a synapse gene,21.28,0,0,0,0,0,0,0
ALPK1,Not a synapse gene,36.46,0,0,0,0,0,0,0
ALPK3,Not a synapse gene,41.95,0,0,0,0,0,0,0
ALPL,Not a synapse gene,37.89,0,0,1,0,0,1,0
