genes,Synonym
STEAP3,"['TSAP6', 'dudlin-2', 'STMP3']"
TBL1X,"['EBI', 'TBL1']"
DDR2,"['TKT', 'NTRKR3', 'TYRO10']"
ARHGAP22,['RhoGAP2']
SLC9B2,"['NHEDC2', 'FLJ23984', 'NHA2']"
MALT1,"['MLT', 'PCASP1']"
CSTF2,['CstF-64']
UBL5,[nan]
ARV1,[nan]
PSMB9,"['RING12', 'PSMB6i', 'LMP2', 'beta1i']"
CWC22,"['NCM', 'EIF4GL', 'KIAA1604', 'fSAPb']"
INO80,"['KIAA1259', 'INO80A', 'hINO80', 'INOC1']"
TRIB3,"['C20orf97', 'TRB3', 'dJ1103G7.3']"
SNRPE,['Sm-E']
COX7C,[nan]
PEX3,[nan]
FOXRED1,['H17']
DDX47,"['FLJ30012', 'DKFZp564O176', 'RRP3', 'HQ0256']"
EIF1AX,"['eIF-4C', 'eIF-1A', 'EIF1A', 'EIF4C']"
SDAD1,['FLJ10498']
AFAP1,"['AFAP-110', 'AFAP']"
COG5,"['GTC90', 'GOLTC1']"
NDUFA13,"['CDA016', 'GRIM-19', 'GRIM19', 'CGI-39', 'B16.6']"
MYADM,[nan]
PRICKLE2,['DKFZp686D143']
USP16,['Ubp-M']
SETD3,"['FLJ23027', 'C14orf154']"
SNX24,['SBBI31']
VAMP7,"['SYBL1', 'VAMP-7', 'TI-VAMP']"
MRPL3,"['MRL3', 'RPML3']"
WT1,"['NPHS4', 'WT-1', 'AWT1', 'WAGR', 'WIT-2', 'GUD']"
TRAM2,['KIAA0057']
FAM110B,"['MGC39325', 'C8orf72']"
TBL3,"['SAZD', 'UTP13']"
CTNNBL1,"['NAP', 'P14', 'NYD-SP19', 'C20orf33', 'P14L', 'FLJ21108']"
LRCH3,['MGC4126']
P4HA1,"['C-P4Halpha(I)', 'P4HA']"
DENND1C,"['FAM31C', 'FLJ22757']"
UQCRB,"['QP-C', 'UQBP', 'QCR7', 'UQCR6']"
CCNYL1,['FLJ40432']
TCP11L1,['FLJ11336']
NDUFB4,['B15']
VKORC1,['VKCFD2']
AGPAT1,['LPAAT-alpha']
CASP9,"['PPP1R56', 'APAF-3', 'MCH6', 'ICE-LAP6']"
NACC2,"['BEND9', 'BTBD14A', 'BTBD31', 'MGC23427']"
SLC25A32,['MFTC']
TLE2,"['FLJ41188', 'ESG2', 'ESG', 'GRG2']"
DPH2,['DPH2L2']
NAPEPLD,"['FMP30', 'C7orf18', 'NAPE-PLD']"
SNX21,"['dJ337O18.4', 'SNX-L', 'C20orf161']"
PTPRE,['PTPE']
THAP7,['MGC10963']
ADARB1,"['ADAR2', 'ADAR2b', 'hRED1', 'ADAR2a-L2', 'ADAR2a-L3', 'ADAR2c', 'ADAR2a-L1', 'DRADA2', 'ADAR2a', 'ADAR2g', 'RED1', 'ADAR2d', 'DRABA2']"
AVL9,['KIAA0241']
HAUS6,"['dgt6', 'FLJ20060', 'FAM29A', 'KIAA1574']"
FOXH1,['FAST1']
POLL,[nan]
ZKSCAN1,"['KOX18', 'ZNF139', 'ZNF36', 'PHZ-37', 'ZSCAN33']"
HLA-E,[nan]
TACO1,['CCDC44']
TELO2,"['hCLK2', 'KIAA0683', 'TEL2']"
TSHR,['LGR3']
KCNQ1,"['KVLQT1', 'KCNA9', 'KCNA8', 'JLNS1', 'LQT1', 'Kv7.1', 'LQT']"
CNTNAP3,"['CNTNAP3A', 'KIAA1714', 'CASPR3', 'FLJ14195']"
NUP54,[nan]
ATP8B2,"['KIAA1137', 'ATPID']"
FBXO10,['FBX10']
WNK2,"['SDCCAG43', 'KIAA1760', 'PRKWNK2', 'NY-CO-43']"
P2RX5,"['LRH-1', 'P2X5']"
CHPF2,"['KIAA1402', 'ChSy-3', 'CSGlcA-T']"
JAKMIP2,"['KIAA0555', 'JAMIP2']"
SLC24A2,['NCKX2']
SLC4A3,"['AE3', 'SLC2C']"
PSD2,"['EFA6C', 'DKFZp761B0514']"
LIFR,['CD118']
SCO1,['SCOD1']
DYNC1LI1,['DNCLI1']
NSA2,"['TINP1', 'HCLG1', 'FLJ94393', 'HUSSY-29']"
SSBP4,[nan]
HINT3,"['HINT4', 'FLJ33126']"
RAB11FIP3,"['eferin', 'Rab11-FIP3', 'KIAA0665']"
FGR,"['SRC2', 'p55c-fgr', 'c-fgr']"
VCPIP1,"['DUBA3', 'FLJ23132', 'KIAA1850', 'VCIP135']"
GUCY2D,"['CORD6', 'retGC', 'ROS-GC1', 'RETGC-1', 'GUC1A4', 'LCA1', 'GUC2D', 'CYGD', 'LCA']"
EXD2,"['FLJ10738', 'EXDL2', 'C14orf114']"
DDX56,['NOH61']
TGFBR3,"['betaglycan', 'BGCAN']"
FOLH1,"['GCP2', 'FOLH', 'PSMA', 'PSM', 'NAALAdase', 'GCPII', 'NAALAD1']"
SFRP4,"['FRZB-2', 'frpHE', 'FRP-4']"
RRP8,"['KIAA0409', 'NML']"
SYNGR2,[nan]
OSBPL6,['ORP6']
MLPH,"['exophilin-3', 'Slac-2a', 'l1Rk3', 'ln', 'l(1)-3Rk']"
POP4,['RPP29']
NSUN5,"['p120(NOL1)', 'NSUN5A', 'FLJ10267', 'NOL1R', 'WBSCR20', 'Ynl022cL', 'WBSCR20A']"
GLB1,"['ELNR1', 'EBP']"
BDKRB2,['BK-2']
KISS1R,"['AXOR12', 'HOT7T175', 'GPR54']"
RARG,"['RARC', 'NR1B3', 'RARgamma', 'RAR-gamma']"
COPS2,"['CSN2', 'TRIP15', 'ALIEN']"
RRM1,[nan]
CTSF,"['CATSF', 'CLN13']"
GLI1,['GLI']
PARVA,"['MXRA2', 'FLJ10793', 'FLJ12254']"
KAT8,"['MOF', 'hMOF', 'FLJ14040', 'MYST1', 'ZC2HC8']"
ESF1,"['bA526K24.1', 'C20orf6']"
REPIN1,"['ZNF464', 'AP4', 'RIP60', 'Zfp464', 'H_DJ0584D14.12']"
HELB,[nan]
DPF2,"['ubi-d4', 'REQ', 'SMARCG2', 'BAF45d']"
ELMO3,"['CED12', 'FLJ13824', 'ELMO-3', 'CED-12']"
SMG7,"['SMG-7', 'KIAA0250', 'SGA56M', 'EST1C', 'C1orf16']"
ACTR6,"['FLJ13433', 'ARP6']"
IMP3,"['BRMS2', 'C15orf12', 'MRPS4', 'FLJ10968']"
AKAP8,"['DKFZp586B1222', 'AKAP95']"
FBP1,['FBP']
BHLHB9,"['p60TRP', 'KIAA1701', 'GASP3']"
GPR156,"['GABABL', 'PGR28']"
SLCO3A1,"['OATP3A1', 'SLC21A11', 'OATP-D']"
RILP,['FLJ31193']
PRMT3,['HRMT1L3']
PHAX,"['FLJ13193', 'RNUXA']"
SNRPF,['Sm-F']
NR2F6,"['EAR2', 'ERBAL2', 'EAR-2']"
MLEC,['KIAA0152']
CALCR,['CTR']
TGM1,"['LI', 'TGASE', 'LI1', 'ICR2', 'TGK']"
ZNF25,"['Zfp9', 'FLJ31890', 'KOX19']"
MORC3,"['ZCW5', 'KIAA0136', 'NXP2', 'ZCWCC3']"
MYO1G,['HA-2']
TWIST1,"['CRS1', 'CRS', 'BPES2', 'H-twist', 'ACS3', 'SCS', 'TWIST', 'BPES3', 'bHLHa38']"
LDLRAP1,"['MGC34705', 'ARH', 'FHCB1', 'ARH2', 'DKFZp586D0624', 'FHCB2']"
CDC14A,"['DFNB32', 'Cdc14A2', 'Cdc14A1', 'cdc14', 'DFNB105']"
WNT7B,[nan]
ATG13,['KIAA0652']
LPIN2,['KIAA0249']
SLC38A7,['FLJ10815']
SLTM,"['FLJ13213', 'Met']"
B3GALT2,['beta3Gal-T2']
B4GALT2,['beta4Gal-T2']
HSDL1,['SDR12C3']
DOCK6,"['KIAA1395', 'ZIR1']"
PRPF4,"['SNRNP60', 'HPRP4', 'Prp4p', 'HPRP4P', 'PRP4']"
UBE2H,"['GID3', 'UBCH', 'UBC8']"
NDUFS4,"['AQDQ', 'CI-18']"
LCLAT1,"['ALCAT1', 'LYCAT', 'AGPAT8', 'FLJ37965']"
MTX3,[nan]
EIF5A2,[nan]
CHRM2,[nan]
TUB,['rd5']
LMAN2,"['VIP36', 'GP36B', 'C5orf8']"
SEMA4C,"['Semaf', 'SEMAI', 'Semacl1']"
JADE1,"['PHF17', 'JADE-1']"
BMPR1B,"['ALK6', 'CDw293']"
TXNDC9,['APACD']
CDC40,"['FLJ10564', 'PRP17', 'EHB3', 'PRPF17']"
LAMTOR5,"['MGC71071', 'HBXIP', 'XIP']"
RFTN1,"['MIG2', 'KIAA0084', 'Raftlin', 'FLJ23866']"
MED17,"['SRB4', 'CRSP6', 'TRAP80', 'CRSP77', 'DRIP80']"
C3AR1,"['C3AR', 'AZ3B']"
RPE,[nan]
OTUD3,"['KIAA0459', 'DUBA4']"
PTGER4,['EP4']
SEMA3G,"['FLJ00014', 'sem2']"
BRINP2,"['FAM5B', 'DBCCR1L2']"
NUDT14,['UGPP']
CHCHD6,"['MGC13016', 'PPP1R23', 'Mic25', 'MICOS25', 'CHCM1']"
SNTB1,"['A1B', 'BSYN2', '59-DAP', 'TIP-43', 'SNT2', 'SNT2B1']"
ELP4,"['C11orf19', 'PAXNEB']"
PNPO,['PDXPO']
OSGEP,"['GCPL1', 'KAE1', 'TCS3', 'PRSMG1', 'OSGEP1']"
PRKG2,"['cGKII', 'PKG2', 'PRKGR2']"
CARD8,"['NDPP', 'CARDINAL', 'Dakar', 'TUCAN', 'KIAA0955']"
SHROOM2,['APXL']
GP1BB,"['GPIbbeta', 'CD42c']"
CENPJ,"['SCKL4', 'LAP', 'CPAP', 'SASS4', 'MCPH6', 'LIP1', 'Sas-4', 'BM032']"
KCTD10,"['MSTP028', 'BTBD28']"
AKT1S1,"['Lobe', 'MGC2865', 'PRAS40']"
ATL2,"['ARL6IP2', 'atlastin2']"
STK10,"['LOK', 'PRO2729']"
STXBP4,"['MGC50337', 'Synip']"
POGZ,"['KIAA0461', 'ZNF635', 'ZNF280E']"
MBOAT1,"['MGC44669', 'LPEAT1', 'dJ434O11.1', 'OACT1']"
ELL,"['ELL1', 'C19orf17', 'Men', 'PPP1R68']"
ZFHX4,"['FLJ20980', 'ZFH4']"
KLF15,['KKLF']
CYB5R1,"['humb5R2', 'NQO3A2']"
TRAPPC9,"['T1', 'NIBP', 'KIAA1882', 'TRS120', 'MRT13', 'IKBKBBP']"
SIAE,"['YSG2', 'LSE', 'MGC87009', 'CSE-C']"
TTYH1,[nan]
SLC16A7,['MCT2']
G6PD,['G6PD1']
ALKBH3,['DEPC-1']
RNF146,"['DKFZp434O1427', 'dactylidin', 'dJ351K20.1']"
PKMYT1,"['PPP1R126', 'MYT1']"
SARNP,"['THO1', 'Hcc-1', 'CIP29']"
ANKRD13B,['FLJ25555']
FAM161A,"['FLJ13305', 'RP28']"
GRAMD1A,"['KIAA1533', 'FLJ90346']"
WRAP73,['WDR8']
PELI1,[nan]
TSFM,"['EF-Tsmt', 'EF-TS']"
ATG4B,"['DKFZp586D1822', 'APG4B', 'AUTL1', 'KIAA0943']"
UNG,"['UDG', 'HIGM4', 'UNG1', 'UNG2', 'DGU']"
RPS27L,[nan]
FKBP15,"['KIAA0674', 'FKBP133', 'WAFL', 'PPP1R76']"
ITGA8,[nan]
RPP25L,"['MGC29635', 'bA296L22.5', 'C9orf23']"
KNTC1,"['ROD', 'KIAA0166']"
PSMD9,"['Rpn4', 'p27']"
LARP4B,"['KIAA0217', 'LARP5']"
MTIF2,['IF-2mt']
EDNRA,"['ET-A', 'ETA-R', 'hET-AR']"
CBFA2T2,"['MTGR1', 'ZMYND3']"
SH2D1A,"['LYP', 'SAP', 'XLPD', 'MTCP1', 'XLP', 'IMD5', 'DSHP', 'EBVS']"
ACAD9,"['NPD002', 'MGC14452']"
LIMS2,"['PINCH-2', 'PINCH2']"
PGRMC2,"['PMBP', 'DG6']"
SESN1,"['SEST1', 'PA26']"
KRT86,"['MNX', 'KRTHB6', 'Hb6']"
COX5A,[nan]
DDX28,"['MDDX28', 'FLJ11282']"
KIF20B,"['MPHOSPH1', 'KRMP1', 'CT90', 'MPP1']"
TLR4,"['CD284', 'hToll', 'ARMD10', 'TLR-4']"
NXN,"['FLJ12614', 'NRX']"
NDUFB5,"['CI-SGDH', 'MGC12314', 'SGDH']"
MBD5,"['FLJ11113', 'KIAA1461']"
ACE,"['CD143', 'DCP1', 'ACE1']"
USP34,"['KIAA0729', 'KIAA0570']"
GLDC,"['NKH', 'GCSP']"
GOLPH3,"['Vps74', 'MIDAS', 'GPP34', 'GOPP1']"
ITGB1BP1,"['ICAP1B', 'ICAP-1B', 'ICAP1', 'ICAP1A', 'ICAP-1alpha', 'ICAP-1A']"
PITPNM2,"['RDGB2', 'RDGBA2', 'NIR3']"
RUSC2,['KIAA0375']
SNX8,['Mvp1']
VAMP8,"['EDB', 'VAMP-8']"
PDE8B,[nan]
TMEFF1,"['C9orf2', 'CT120.1', 'H7365']"
PAPOLG,['FLJ12972']
CDC42EP3,"['UB1', 'BORG2', 'CEP3']"
DRD4,[nan]
EXOSC10,"['PM/Scl-100', 'p2', 'p3', 'RRP6', 'p4', 'PMSCL2', 'PM-Scl', 'Rrp6p']"
SEPHS1,"['SPS', 'SPS1']"
ZNF408,['FLJ12827']
MAP3K12,"['MUK', 'ZPKP1', 'MEKK12', 'DLK', 'ZPK']"
RAB30,[nan]
UBE2T,"['FANCT', 'HSPC150']"
SH2D2A,"['TSAd', 'F2771']"
SPRY1,['hSPRY1']
IK,"['RED', 'RER']"
ATP6V0A2,"['RTF', 'a2V', 'ATP6N1D', 'Vph1', 'ATP6a2', 'Stv1', 'a2', 'TJ6s', 'TJ6M', 'TJ6', 'J6B7']"
MYO3A,['DFNB30']
PUS7,['FLJ20485']
RAB3D,"['RAD3D', 'GOV', 'RAB16', 'D2-2']"
ANKRD12,"['ANCO-2', 'KIAA0874', 'FLJ20053', 'GAC-1']"
DCTN3,['DCTN-22']
KCNA3,"['HPCN3', 'HLK3', 'Kv1.3', 'MK3']"
JMY,"['WHAMM2', 'FLJ37870']"
FGF2,['FGFB']
DNAJC28,"['C21orf55', 'C21orf78']"
APRT,[nan]
ACTG2,"['ACTA3', 'ACTL3', 'ACTSG']"
FAM172A,"['C5orf21', 'Toupee', 'DKFZP564D172']"
TRIM63,"['RNF28', 'SMRZ', 'IRF', 'MURF-1']"
LDLR,['LDLCQ2']
TEAD3,"['TEF-5', 'ETFR-1', 'TEAD5']"
ALG1,"['CDG1K', 'HMT-1', 'Mat-1', 'HMAT1']"
RRM2,"['C2orf48', 'FLJ25102']"
PPIG,"['SRCyp', 'CARS-Cyp', 'SCAF10']"
HSPB8,"['E2IG1', 'H11', 'HSP22', 'CMT2L']"
RGS5,"['MSTP032', 'MST092', 'MST106', 'MSTP106', 'MSTP092', 'MSTP129', 'MST129']"
MRI1,"['mtnA', 'MGC3207', 'Ypr118w', 'MRDI']"
LARP6,"['acheron', 'FLJ11196']"
MCTP2,"['FLJ33303', 'FLJ11175']"
TTC3,"['DCRR1', 'TPRD', 'TPRDIII', 'RNF105', 'TPRDII', 'TPRDI']"
ZNF774,['MGC75360']
AMER3,"['FLJ38377', 'FAM123C']"
TRIM36,"['HAPRIN', 'RBCC728', 'RNF98']"
PLEKHA2,['TAPP2']
PDE9A,[nan]
STARD7,['GTT1']
HMBS,"['PBGD', 'UPS', 'PORC']"
ZBTB47,"['ZNF651', 'DKFZp434N0615', 'KIAA1190']"
POC1B,"['TUWD12', 'WDR51B', 'FLJ14923']"
HSD17B11,"['PAN1B', '17-BETA-HSDXI', 'DHRS8', '17-BETA-HSD11', 'SDR16C2', 'RetSDR2']"
COL4A5,"['ATS', 'ASLN']"
BNIP2,"['Nip2', 'BNIP-2']"
S100A16,"['MGC17528', 'DT1P1A7', 'S100F']"
ZNF771,['DSC43']
CYB5R4,"['dJ676J13.1', 'NCB5OR', 'b5+b5R']"
HAT1,['KAT1']
WDR33,"['NET14', 'WDC146', 'FLJ11294']"
ACAA2,['DSAEC']
SURF2,[nan]
GSS,[nan]
POU3F3,"['BRN1', 'OTF8']"
RIOK2,['FLJ11159']
ADSL,[nan]
ALDH1B1,"['ALDHX', 'ALDH5']"
JDP2,['JUNDM2']
NOTCH4,['INT3']
PXK,"['FLJ20335', 'Slob']"
ACSBG1,"['KIAA0631', 'BGM', 'hBG1', 'BG1', 'MGC14352', 'hsBG', 'FLJ30320']"
COL9A3,"['DJ885L7.4.1', 'MED', 'FLJ90759', 'IDD', 'EDM3']"
PCSK1,"['PC1/3', 'PC1', 'NEC1', 'SPC3', 'PC3']"
CALB1,['CALB']
LPL,['LIPD']
VLDLR,"['CARMQ1', 'CHRMQ1', 'VLDLRCH']"
LMTK2,"['PPP1R100', 'AATYK2', 'KIAA1079', 'KPI2', 'cprk', 'KPI-2', 'BREK', 'LMR2']"
RXRG,"['RXRgamma', 'RXR-gamma', 'NR2B3']"
DNAJC9,"['JDD1', 'SB73']"
RCVRN,['RCV1']
DUSP10,"['MKP-5', 'MKP5']"
ASXL3,['KIAA1713']
LRP3,"['LRP-3', 'hLRp105']"
LRCH4,"['LRN', 'LRRN1']"
PARD6B,['PAR-6B']
CXXC5,"['WID', 'HSPC195', 'RINF']"
EMC4,"['FLJ90746', 'TMEM85', 'PIG17', 'MGC24415']"
DDIT4,"['RTP801', 'Dig2', 'REDD-1', 'REDD1', 'FLJ20500']"
KCMF1,"['DKFZP434L1021', 'PCMF', 'DEBT91', 'ZZZ1']"
NABP2,"['SOSS-B1', 'hSSB1', 'SSB1', 'OBFC2B', 'MGC2731']"
RABL3,['MGC23920']
EIF4ENIF1,"['2610509L04Rik', 'FLJ21601', '4E-T', 'Clast4']"
PELP1,['MNAR']
STK16,"['PKL12', 'MPSK']"
HNRNPUL2,"['HNRPUL2', 'DKFZp762N1910']"
TMEM109,['MGC5508']
DUSP6,"['MKP-3', 'PYST1']"
SH3BP5,['Sab']
PBX2,"['PBX2MHC', 'G17', 'HOX12']"
CSF1R,"['CSFR', 'C-FMS', 'FMS', 'CD115']"
CERS4,"['FLJ12089', 'LASS4', 'Trh1']"
TAF4B,"['TAFII105', 'TAF2C2']"
CDON,"['CDO', 'CDON1', 'Ihog', 'ORCAM']"
MRPL18,['HSPC071']
CALB2,['CAL2']
JADE3,"['PHF16', 'KIAA0215', 'JADE-3']"
NME3,"['DR-nm23', 'NDPKC', 'NM23-H3']"
RBM42,['MGC10433']
NEXN,"['NELIN', 'nexilin']"
MFAP1,['AMP']
HSPA13,['STCH']
APLF,"['MGC47799', 'Xip1', 'C2orf13', 'ZCCHH1']"
MPPE1,"['Cdc1', 'PGAP5']"
MSRB3,"['DFNB74', 'DKFZp686C1178', 'FLJ36866']"
NEUROG3,"['bHLHa7', 'Math4B', 'ngn3', 'Atoh5']"
FAP,['DPPIV']
EFNA5,"['AF1', 'EPLG7', 'LERK7']"
F13A1,['F13A']
U2AF1,"['RNU2AF1', 'RN', 'U2AFBP', 'U2AF35']"
TOX4,"['C14orf92', 'LCP1', 'KIAA0737']"
SCN4A,"['SkM1', 'HYKPP', 'HYPP', 'Nav1.4']"
AGGF1,"['FLJ10283', 'GPATC7', 'HSU84971', 'VG5Q', 'GPATCH7']"
RNF20,"['BRE1A', 'FLJ11189', 'KAIA2779', 'FLJ20382', 'hBRE1', 'BRE1']"
FAM110C,[nan]
OPLAH,"['5-Opase', 'OPLA']"
ZNF644,"['MGC60165', 'KIAA1221', 'MGC70410', 'BM-005']"
SDF2L1,"['OTTHUMT00000075032', 'AP000553.C22.4']"
ZC3HAV1L,"['C7orf39', 'MGC14289']"
DLK1,"['Delta1', 'FA1', 'ZOG', 'Pref-1', 'pG2']"
TTC37,"['THES', 'KIAA0372', 'SKI3']"
POLR2J,"['POLR2J1', 'RPB11A', 'RPB11m', 'hRPB14', 'RPB11']"
SURF6,"['FLJ30322', 'RRP14']"
SPRY3,['HSPRY3']
PLA2R1,"['PLA2-R', 'PLA2G1R', 'CLEC13C', 'PLA2IR']"
SLC35B2,['UGTrel4']
NDUFA3,['B9']
ABCC5,"['SMRP', 'MRP5', 'MOAT-C', 'EST277145']"
DDX23,"['prp28', 'PRPF28', 'SNRNP100', 'U5-100KD']"
TCF20,"['SPBP', 'AR1']"
CRB1,"['LCA8', 'RP12']"
DRAP1,['NC2-alpha']
ZNF516,"['KIAA0222', 'HsT287']"
PYGM,['GSD5']
RHOF,"['RIF', 'ARHF', 'FLJ20247']"
IRF5,['IRF-5']
CNOT6L,"['Ccr4b', 'DKFZp434K098']"
UGDH,[nan]
CSPG4,"['MSK16', 'MCSP', 'NG2', 'HMW-MAA', 'MEL-CSPG', 'MCSPG', 'CSPG4A']"
PIEZO1,"['FAM38A', 'KIAA0233']"
LPIN3,"['SMP2', 'LIPN3L']"
GARNL3,"['bA356B19.1', 'DKFZp761J1523']"
MANEAL,['FLJ31434']
ING5,"['p28ING5', 'FLJ23842']"
NUP210,"['FLJ22389', 'POM210', 'KIAA0906', 'GP210']"
MRPL11,[nan]
TMEM67,"['NPHP11', 'JBTS6', 'MGC26979', 'MKS3']"
CENPU,"['MLF1IP', 'CENP-50', 'KLIP1', 'PBIP1', 'CENP-U']"
USF1,"['bHLHb11', 'MLTFI', 'UEF']"
RCOR3,['FLJ10876']
COPRS,"['C17orf79', 'COPR5', 'HSA272196', 'TTP1']"
LGR5,"['GPR67', 'FEX', 'GPR49', 'HG38']"
FOXO4,"['AFX1', 'MLLT7']"
CD164,"['DFNA66', 'MUC-24', 'MGC-24']"
SIPA1,['SPA1']
SCNN1D,"['ENaCdelta', 'dNaCh']"
TULP4,"['KIAA1397', 'TUSP']"
SYCE1,"['C10orf94', 'CT76', 'bA108K14.6']"
TJAP1,"['TJP4', 'PILT']"
OTUD4,"['KIAA1046', 'HSHIN1', 'DUBA6']"
ADCY5,['AC5']
PCYT1B,"['CTB', 'CCT-beta', 'CCTbeta']"
ID4,['bHLHb27']
SENP1,[nan]
MRPL2,"['RPML14', 'MRP-L14', 'CGI-22']"
GPRC5C,['RAIG-3']
RECQL5,"['FLJ90603', 'RecQ5']"
BRAP,"['RNF52', 'BRAP2', 'IMP']"
ZNF768,['FLJ23436']
KITLG,"['SF', 'KL-1', 'DFNA69', 'MGF', 'SLF', 'Kitl', 'SCF', 'FPH2']"
PSKH1,[nan]
FOSL1,['fra-1']
GPLD1,[nan]
LPCAT1,"['AGPAT9', 'AGPAT10', 'FLJ12443', 'AYTL2']"
PTAFR,[nan]
RLIM,"['MGC15161', 'NY-REN-43', 'RNF12']"
RFC4,"['RFC37', 'A1']"
MEX3A,"['RKHD4', 'RNF162']"
LCA5,['C6orf152']
SLC39A11,['C17orf26']
COL19A1,[nan]
SPCS2,['KIAA0102']
PUSL1,['FLJ90811']
CLCN5,"['CLC5', 'NPHL1', 'hCIC-K2', 'DENTS', 'XLRH', 'ClC-5', 'NPHL2', 'hClC-K2', 'XRN']"
FKBP10,"['FLJ20683', 'FKBP6', 'FKBP65', 'FLJ23833', 'FLJ22041', 'hFKBP65']"
ANO8,"['TMEM16H', 'KIAA1623']"
IFT80,"['FAP167', 'WDR56', 'KIAA1374']"
SIRT3,['SIR2L3']
CLIP1,"['CLIP-170', 'RSN', 'CLIP', 'CLIP170', 'CYLN1']"
PTPN18,['BDP1']
ECM1,[nan]
IFRD2,"['IFNRP', 'SKMc15', 'SM15']"
SCAF8,"['KIAA1116', 'RBM16']"
FRMD3,"['MGC20553', 'EPB41L4O']"
RBM4B,"['MGC10871', 'ZCCHC15', 'ZCCHC21B', 'RBM30', 'ZCRB3B', 'RBM4L']"
SENP5,['MGC27076']
LTV1,"['C6orf93', 'FLJ14909', 'dJ468K18.4']"
PLEKHM1,['KIAA0356']
PSMF1,['PI31']
IMP4,"['MGC19606', 'BXDC4']"
ERCC3,"['RAD25', 'Ssl2', 'XPB', 'BTF2']"
TPCN1,"['TPC1', 'FLJ20612', 'KIAA1169']"
GPX8,"['EPLA847', 'UNQ847']"
IFNGR2,"['IFNGT1', 'AF-1']"
PCDHGA8,"['PCDH-GAMMA-A8', 'KIAA0327']"
EBF4,"['KIAA1442', 'COE4', 'RP5-860F19.3', 'O/E-4']"
GPC4,['K-glypican']
MCM10,"['CNA43', 'DNA43', 'PRO2249']"
RBM28,['FLJ10377']
MBTD1,"['FLJ20055', 'SA49P01']"
PLCD1,[nan]
SERTAD4,['DJ667H12.2']
MYBPH,[nan]
DCTD,[nan]
RNASEL,"['PRCA1', 'RNS4']"
MKI67,"['Ki-67', 'PPP1R105', 'MIB-1']"
PCDHA8,[nan]
SPRN,"['Shadoo', 'bA108K14.1', 'FLJ41197']"
GALNT1,['GalNAc-T1']
SNIP1,['PML1']
ARHGAP20,['KIAA1391']
FBXW8,"['FBXO29', 'FBW6', 'FBX29', 'FBW8']"
HLA-F,[nan]
RORC,"['NR1F3', 'RORG', 'TOR', 'RZRG']"
DEGS1,"['DEGS-1', 'MLD', 'Des-1', 'DES1', 'FADS7']"
VTI1A,"['MVti1', 'Vti1-rp2']"
TACC2,"['AZU-1', 'ECTACC']"
KRT81,"['Hb-1', 'KRTHB1']"
EXOC7,"['EXO70', 'BLOM4', 'Exo70p', 'KIAA1067', 'YJL085W']"
KRT3,"['CK3', 'K3']"
CARD10,"['CARMA3', 'BIMP1']"
KRT78,['K5B']
ZNF688,[nan]
HES1,"['HES-1', 'FLJ20408', 'HRY', 'bHLHb39']"
TNIP2,"['MGC4289', 'ABIN-2', 'KLIP', 'FLIP1']"
PWP1,['IEF-SSP-9502']
ABCA3,"['EST111653', 'ABC-C', 'LBM180', 'ABC3']"
AMOTL1,['JEAP']
DNAJC1,"['ERdj1', 'DNAJL1', 'MTJ1']"
BAG5,[nan]
MGAT4A,"['GnT-4a', 'GnT-Iva']"
ARFGAP3,['ARFGAP1']
NLRP4,"['PYPAF4', 'PAN2', 'RNH2', 'CT58', 'FLJ32126', 'NALP4', 'CLR19.5']"
ARID1A,"['P270', 'BAF250', 'B120', 'C1orf4', 'C10rf4', 'SMARCF1', 'BAF250a']"
MZT2B,"['FLJ14346', 'FAM128B', 'MOZART2B']"
PID1,"['FLJ20701', 'NYGGF4']"
TBC1D2B,['KIAA1055']
GPR20,[nan]
SYTL4,[nan]
GATA1,"['GF1', 'ERYF1', 'NF-E1', 'NFE1', 'GATA-1']"
PIN4,"['PAR17', 'PAR14', 'EPVH']"
ZC3HC1,['NIPA']
FAM162A,"['C3orf28', 'E2IG5']"
COLEC12,"['SCARA4', 'CL-P1', 'SRCL']"
MED25,"['DKFZp434K0512', 'ACID1', 'ARC92', 'TCBAP0758']"
MYSM1,['KIAA1915']
GABRE,[nan]
ENTPD7,"['LALP1', 'FLJ30978']"
POLR1E,"['RPA49', 'FLJ13390', 'PAF53', 'FLJ13970', 'PRAF1']"
CAPN15,['SOLH']
RIN3,['FLJ22439']
ETFB,[nan]
PIGK,"['hGPI8', 'GPI8']"
AUH,[nan]
CNOT4,"['CLONE243', 'NOT4H', 'NOT4']"
MASP1,"['Map44', 'PRSS5', 'CRARF', 'MAP-1', 'MASP', 'MASP-3']"
PFKFB2,[nan]
SLC48A1,"['HRG1', 'hHRG-1', 'FLJ20489']"
TNFRSF21,"['CD358', 'DR6']"
NGLY1,"['PNG-1', 'FLJ11005', 'PNG1']"
PPP1R3E,['FLJ00089']
QRFPR,['GPR103']
RAB27A,"['RAB27', 'RAM', 'HsT18676', 'GS2']"
ACKR3,"['GPR159', 'CXCR7', 'RDC1', 'CMKOR1']"
USP43,['FLJ30626']
YIF1A,"['YIF1', '54TM', 'FinGER7', 'YIF1P']"
SUCLG2,[nan]
KIF7,['JBTS12']
RCBTB1,"['FLJ10716', 'CLLL7', 'CLLD7']"
COPS7B,['CSN7B']
PIDD1,"['DKFZp434D229', 'PIDD', 'LRDD', 'MGC16925']"
