genes,Synonym
ATXN1,"['ATX1', 'SCA1', 'D6S504E']"
VAPA,"['VAP-A', 'hVAP-33']"
MIB1,"['ZZANK2', 'DIP-1', 'MIB', 'ZZZ6', 'KIAA1323']"
MTA3,['KIAA1266']
XRN1,['SEP1']
TRAF2,"['TRAP3', 'RNF117']"
AR,"['SBMA', 'SMAX1', 'DHTR', 'AIS', 'NR3C4', 'HUMARA']"
STAU1,"['STAU', 'PPP1R150']"
TUBA4A,"['H2-ALPHA', 'TUBA1', 'FLJ30169']"
PPP2CB,['PP2Abeta']
USP7,['HAUSP']
FKBP8,"['FKBP38', 'FKBPr38']"
FARP2,"['PLEKHC3', 'KIAA0793', 'FRG', 'FIR']"
TOLLIP,['IL-1RAcPIP']
CTTN,['EMS1']
UBB,"['FLJ25987', 'MGC8385']"
DYSF,"['LGMD2B', 'FER1L1']"
THRAP3,"['TRAP150', 'BCLAF2']"
MSH6,['GTBP']
SRRM2,"['KIAA0324', 'SRL300', 'SRm300', 'Cwc21']"
UCHL1,"['PARK5', 'PGP9.5', 'Uch-L1']"
FUS,"['ALS6', 'FUS1', 'hnRNP-P2', 'HNRNPP2', 'TLS']"
PKD1,"['TRPP1', 'Pc-1', 'PBP']"
CRMP1,"['DPYSL1', 'DRP-1']"
MTA1,[nan]
TMEM17,['FLJ34583']
ATP6V1E1,"['ATP6E', 'ATP6E2', 'ATP6V1E', 'P31', 'Vma4']"
FBXW7,"['FBX30', 'AGO', 'SEL-10', 'SEL10', 'FLJ11071', 'FBXW6', 'CDC4', 'FBW7']"
EEF1G,['EF1G']
KIFAP3,"['FLA3', 'KAP-1', 'SMAP', 'KAP3']"
DPP10,"['DPPY', 'DPL2', 'DPRP3']"
SEC16A,"['p250', 'Sec16L', 'KIAA0310']"
MCC,[nan]
FARP1,"['PPP1R75', 'CDEP', 'PLEKHC2', 'MGC87400']"
SOX2,[nan]
RPS18,"['KE3', 'D6S218E', 'HKE3', 'S18', 'KE-3']"
SNRNP200,"['RP33', 'HELIC2', 'KIAA0788', 'U5-200KD', 'ASCC3L1', 'BRR2']"
NEDD8,['Nedd-8']
MSN,[nan]
RAB6B,[nan]
PXN,[nan]
ABCC8,"['PHHI', 'MRP8', 'HHF1', 'HRINS', 'SUR1', 'TNDM2', 'HI', 'ABC36', 'SUR']"
NOTCH3,"['CASIL', 'CADASIL']"
OCIAD1,"['TPA018', 'FLJ20455', 'Asrij', 'OCIA']"
BTK,"['XLA', 'PSCTK1', 'IMD1', 'ATK', 'AGMX1']"
ATR,"['SCKL', 'MEC1', 'SCKL1', 'FRP1']"
BAG6,"['G3', 'Scythe', 'BAT3', 'D6S52E']"
SRSF5,"['SRP40', 'HRS', 'SFRS5']"
AGO1,"['hAGO1', 'EIF2C1']"
GRIN2A,"['GluN2A', 'NMDAR2A']"
DNAH7,['KIAA0944']
FGFR2,"['JWS', 'TK25', 'CD332', 'CEK3', 'ECT1', 'BEK', 'TK14', 'KGFR', 'CFD1', 'K-SAM']"
APBA2,"['MGC:14091', 'D15S1518E', 'LIN-10', 'MINT2', 'X11L', 'HsT16821']"
NFKB2,"['p105', 'p52', 'p49/p100', 'LYT-10', 'NF-kB2']"
WBP2,"['GRAMD6', 'WBP-2']"
EIF4A3,"['DDX48', 'KIAA0111', 'EIF4AIII', 'Fal1']"
GPM6A,['GPM6']
